, VG, VDS, ID, IG
, 8.7, 0.1, -6.691e-10, 1.1388e-06
, 8.8, 0.1, -3.198e-11, 1.5837e-06
, 8.9, 0.1, 4.7811e-11, 2.1744e-06
, 9.0, 0.1, 5.2411e-11, 1.1548e-06
, 9.1, 0.1, 5.9056e-11, 3.0306e-06
, 9.2, 0.1, 6.1489e-11, 1.7655e-06
, 9.3, 0.1, 6.9829e-11, 1.7415e-06
, 9.4, 0.1, 7.0393e-11, 2.5681e-06
, 9.5, 0.1, 8.4608e-11, 1.9295e-06
, 9.6, 0.1, 6.8206e-11, 2.4248e-06
, 9.7, 0.1, 7.5435e-11, 3.503e-06
, 9.8, 0.1, 8.8489e-11, 4.404e-06
, 9.9, 0.1, 9.6605e-11, 4.1076e-06
, 10.0, 0.1, 7.3567e-11, 4.0627e-06
